"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","Altman Z-score","Piotroski F-score","Modified C-score","Current PE","Median PE","Current PB","Median PB","Earning Yield (%)","PEG","Median Duration"
"3i Infotech Ltd.","Technology","Computer Software","-2.38","3","1","-","2.98","-0.48","0.45","9.14","-","5-Y"
"7Seas Technologies Ltd.","Technology","Computer Software","-15.1","2","3","-","10.85","8.3","0.94","-40.13","-","5-Y"
"8K Miles Software Services Ltd.","Technology","Computer Software","156.92","5","2","80.32","21.14","14.52","3.16","1.7","0.79","3-Y"
"Aakar Engineering & Mfg. Co. Ltd.","Technology","Computer Software","-2.9","4","3","-","-","-","-","17.14","-","-"
"Aashee Infotech Ltd.","Technology","Computer Hardware","2.05","7","5","4.93","8.91","0.39","0.51","22.46","2.36","3-Y"
"Abacus Computers Ltd.","Technology","Computer Software","-241.84","8","6","-","-","-","-","0.45","-","-"
"Abee Info-Consumables Ltd.","Technology","Computer Hardware","-0.97","4","3","-","-","-","-","-4.59","-","-"
"Accelya Kale Solutions Ltd.","Technology","Computer Software","10.08","5","3","21.18","9.59","10.63","3.41","7.95","0.35","5-Y"
"Accentia Technologies Ltd.","Technology","Computer Software","3.02","3","3","-","-","-","-","6.62","-","-"
"Ace Software Exports Ltd.","Technology","Computer Software","11.12","4","2","11.64","10.68","0.52","0.32","9.91","1.05","5-Y"
"ACI Infocom Ltd.","Technology","Computer Hardware","159.85","6","4","-","344.9","4.78","3.8","0.23","-","5-Y"
"Adam Comsof Ltd.","Technology","Computer Software","8.14","4","4","-","-","-","-","4.2","-","-"
"Advent Computer Services Ltd.","Technology","Computer Software","4.1","4","2","-","-","0.42","0.39","-0.86","-","5-Y"
"Aftek Ltd.","Technology","Computer Software","2.78","5","2","-","13.69","0.04","0.12","-9.02","-","3-Y"
"AGS Infotech Ltd.","Technology","Computer Software","3.37","5","1","-","-","-","-","4.19","-","-"
"Ajel Ltd.","Technology","Computer Software","2.18","3","4","1.37","4.1","0.17","0.33","14.17","-0.03","5-Y"
"Allied Computers International (Asia) Ltd.","Technology","Computer Hardware","-0.55","6","3","52.66","44.65","0.05","0.09","0.28","-0.87","5-Y"
"Allied Digital Services Ltd.","Technology","Computer Software","6.61","5","2","19.88","10.49","0.36","0.15","8.77","-0.37","5-Y"
"Allsoft Corporation Ltd.","Technology","Computer Software","0.57","6","4","-","-","-","-","-0.87","-","-"
"AMI Computers (I) Ltd.","Technology","Computer Software","2.53","6","2","-","-","-","-","0.08","-","-"
"Aptech Ltd.","Technology","Computer Software","6.72","6","2","18.83","10.89","1.09","1.1","2.03","0.49","5-Y"
"Aqua Pumps Infra Ventures Ltd.","Technology","Computer Software","0.56","6","5","21.25","114.7","0.62","1.65","7.02","0.09","5-Y"
"Archana Software Ltd.","Technology","Computer Software","8.36","8","2","41.83","26.18","0.9","0.31","2.42","-0.95","3-Y"
"ASM Technologies Ltd.","Technology","Computer Hardware","3.62","5","1","19.48","5.22","1.36","1.09","13.21","-5.61","5-Y"
"Avance Technologies Ltd.","Technology","Computer Software","1.41","7","2","-","61.01","0.12","0.08","-2.74","-","5-Y"
"Avantel Ltd.","Technology","Computer Software","8.98","8","1","124.82","10.72","3.06","1.52","3.77","-3.93","5-Y"
"AXISCADES Engineering Technologies Ltd.","Technology","Computer Hardware","20.7","7","1","35.76","15.03","6.35","2.74","3.98","0.83","5-Y"
"Aztecsoft Ltd","Technology","Computer Software","6.41","6","2","-","-","-","-","-4.78","-","-"
"B2B Software Technologies Ltd.","Technology","Computer Software","12.66","7","1","9.77","15.34","2.15","2.45","14.75","0.04","5-Y"
"Baron Infotech Ltd.","Technology","Computer Software","-32.11","3","5","-","-","0.19","0.21","-402.46","-","3-Y"
"Bathina Technologies (India) Ltd.","Technology","Computer Software","7.6","6","3","-","-","-","-","-2.8","-","-"
"Bharatiya Global Infomedia Ltd.","Technology","Computer Software","4.49","3","4","-","21.12","0.08","0.09","-16.09","-","3-Y"
"Birla Shloka Edutech Ltd.","Technology","Computer Software","2.34","6","5","-","4.03","0.09","0.1","-20.54","-","5-Y"
"BITS Ltd.","Technology","Computer Software","4.16","7","1","21.5","35.18","0.15","0.11","-0.89","0.24","5-Y"
"BLS Infotech Ltd.","Technology","Computer Software","129.81","6","4","330.94","4.88","0.33","0.24","-0.38","-4.26","5-Y"
"Blue Star Infotech Ltd.","Technology","Computer Software","10.11","6","2","11.26","12.33","2","1.07","13.94","0.87","5-Y"
"Bodhtree Consulting Ltd.","Technology","Computer Software","5.39","2","2","72.32","-","2.84","-","3.27","-","-"
"Boston Teknowsys (India) Ltd.","Technology","Computer Software","1.9","4","4","281.08","223.92","0.97","2.97","0.51","20.44","1-Y"
"C G-V AK Software & Exports Ltd.","Technology","Computer Software","10.26","9","1","26.37","11.98","2.42","0.69","7.57","0.55","5-Y"
"California Software Co. Ltd.","Technology","Computer Software","-5.93","4","3","-","-","-0.55","0.56","11.96","-","5-Y"
"Cals Refineries Ltd.","Technology","Computer Hardware","-7586.98","4","3","-","-","-2.88","0.22","-803.97","-","5-Y"
"Cambridge Technology Enterprises Ltd.","Technology","Computer Software","49.12","8","2","49.54","36.56","7.96","0.92","1.81","1.52","5-Y"
"Cauvery Software Engg. Systems Ltd.","Technology","Computer Software","7.65","3","2","-","-","-","-","-","-","-"
"CCS Infotech Ltd.","Technology","Computer Hardware","4.26","4","4","-","-","-","-","11.62","-","-"
"Centerac Technologies Ltd.","Technology","Computer Software","4.47","7","3","-","14.08","1.38","1.61","-33.04","-","5-Y"
"Cerebra Integrated Technologies Ltd.","Technology","Computer Software","6.79","3","1","210.6","49.51","1.45","1.06","3.2","50.98","5-Y"
"Chicago Software Inds. Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-","-"
"Cigniti Technologies Ltd.","Technology","Computer Software","15.85","3","5","30.53","36.35","3.73","4.91","5.39","0.11","3-Y"
"City Hospitalities India Ltd.","Technology","Computer Software","8.76","3","4","-","-","-","-","-1.69","-","-"
"Clio Infotech Ltd.","Technology","Computer Software","-","-","-","-","4.11","0.05","0.11","-20.15","-","5-Y"
"CMC Ltd.","Technology","Computer Hardware","15.94","5","2","-","-","-","-","0.93","-","-"
"CNI Research Ltd","Technology","Computer Software","109.51","5","6","21.04","96.2","2.37","2.06","5.6","1.95","5-Y"
"Commex Technology Ltd.","Technology","Computer Software","7.02","6","4","-","40.31","0.16","2.4","9.72","-","5-Y"
"Compuage Infocom Ltd.","Technology","Computer Hardware","1.98","6","3","11.98","6.47","1.72","1.08","15.78","0.58","5-Y"
"Compucom Software Ltd.","Technology","Computer Software","6.04","6","5","19.28","9.89","0.89","0.81","11.27","-1.1","5-Y"
"Compudyne Winfosystems Ltd.","Technology","Computer Software","-0.78","5","2","-","-","-","-","4.11","-","-"
"Comp-U-Learn Tech India Ltd.","Technology","Computer Software","4.26","2","3","34.1","3.63","0.05","0.31","-0.97","-0.27","5-Y"
"Compulink Systems Ltd.","Technology","Computer Software","11.33","2","2","-","-","-","-","-1.04","-","-"
"Computech International Ltd.","Technology","Computer Software","-39.79","3","3","-","-","-","-","15.98","-","-"
"Computer Point Ltd.","Technology","Computer Hardware","6.38","4","4","10.06","5.95","0.11","0.15","13.35","-0.22","5-Y"
"Concurrent (India) Infrastructure Ltd.","Technology","Computer Software","4.36","4","5","-","-","-","-","7.27","-","-"
"Coral Hub Ltd.","Technology","Computer Software","8.24","5","5","-","-","-","-","-4.86","-","-"
"Core Education & Technologies Ltd.","Technology","Computer Software","-4.73","4","2","-","18.29","-0.23","2.4","-37.99","-","5-Y"
"COVIDH TECHNOLOGIES LTD.","Technology","Computer Software","3.66","5","5","41.86","57.23","0.76","0.62","1.77","1.62","1-Y"
"Crystal Software Solutions Ltd.","Technology","Computer Software","-1.14","4","2","-","-","-","-","0.02","-","-"
