"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","ROE (%)","Operating Margin (%)","Free Cash Flow (Cr)","Debt Equity Ratio","Long-term Debt (Cr)","Networth (Cr)"
"3i Infotech Ltd.","Technology","Computer Software","0","13.18","-955.03","-4.79","2443.05","-350.75"
"7Seas Technologies Ltd.","Technology","Computer Software","-158.12","-3178.44","-1.34","10.48","6.52","0.67"
"8K Miles Software Services Ltd.","Technology","Computer Software","28.54","30.88","-10.67","0","0.07","111.29"
"Aashee Infotech Ltd.","Technology","Computer Hardware","0.57","0.04","0.05","0","0","1.8"
"Accelya Kale Solutions Ltd.","Technology","Computer Software","60.01","39.81","53.77","0","0","115.08"
"Accentia Technologies Ltd.","Technology","Computer Software","-4.92","16.83","-14.28","0.12","54.5","459"
"Ace Software Exports Ltd.","Technology","Computer Software","2.68","21.6","-1.5","0","0","17.97"
"ACI Infocom Ltd.","Technology","Computer Hardware","0.63","9.45","-0.37","0","0","16.14"
"Advent Computer Services Ltd.","Technology","Computer Software","0.02","7.51","-0.01","0.05","0.73","15.47"
"Aftek Ltd.","Technology","Computer Software","-1.54","109.2","0","0.27","112.8","410.94"
"AGS Infotech Ltd.","Technology","Computer Software","6.69","16.17","-2.4","1.02","24.15","31.72"
"Ajel Ltd.","Technology","Computer Software","-20.41","-4.09","-0.25","0.8","12.39","16.66"
"Allied Computers International (Asia) Ltd.","Technology","Computer Hardware","0.08","17.57","-131.97","0.29","35.67","191.98"
"Allied Digital Services Ltd.","Technology","Computer Software","-0.05","19.41","-13.74","0.21","136.03","662.77"
"Aptech Ltd.","Technology","Computer Software","7","17.44","10.95","0","0","223"
"Aqua Pumps Infra Ventures Ltd.","Technology","Computer Software","2.69","3.64","243.34","0.03","1.07","38.48"
"Archana Software Ltd.","Technology","Computer Software","0.93","1.78","0.04","0","0","2.63"
"ASM Technologies Ltd.","Technology","Computer Hardware","9.85","10.25","4.16","0.83","43.03","52.09"
"Avance Technologies Ltd.","Technology","Computer Software","-0.39","-1.02","14.74","0","0","387.52"
"Avantel Ltd.","Technology","Computer Software","4.74","19.27","0.64","0.45","8.27","19.72"
"AXISCADES Engineering Technologies Ltd.","Technology","Computer Hardware","17.77","13.74","19.02","0.21","26.73","125.27"
"B2B Software Technologies Ltd.","Technology","Computer Software","15.31","10.4","0.29","0","0","5.15"
"Baron Infotech Ltd.","Technology","Computer Software","-107.67","-7132.58","-2.06","0","0","0.93"
"Bharatiya Global Infomedia Ltd.","Technology","Computer Software","-0.13","11.66","1.52","0.03","2.77","90.71"
"Birla Shloka Edutech Ltd.","Technology","Computer Software","-6.71","12.27","4.02","0.23","24.65","108.18"
"BITS Ltd.","Technology","Computer Software","0.47","-28.51","0.19","0","0","36.34"
"BLS Infotech Ltd.","Technology","Computer Software","0","2.03","0.06","0","0","41.22"
"Blue Star Infotech Ltd.","Technology","Computer Software","17.1","11.28","17.23","0.04","4.7","115.43"
"Bodhtree Consulting Ltd.","Technology","Computer Software","2.12","8.88","-4.13","0.4","10.71","26.59"
"Boston Teknowsys (India) Ltd.","Technology","Computer Software","2.15","1.89","-0.73","0.02","0.06","3.25"
"C G-V AK Software & Exports Ltd.","Technology","Computer Software","14.4","7.97","1.4","0.01","0.18","14.05"
"California Software Co. Ltd.","Technology","Computer Software","0","-","-5.52","-2.96","60.9","-20.56"
"Cals Refineries Ltd.","Technology","Computer Hardware","-225.5","-","-559.97","-0.37","7.08","-17.8"
"Cambridge Technology Enterprises Ltd.","Technology","Computer Software","11.4","21","1.35","0","0","28.93"
"CCS Infotech Ltd.","Technology","Computer Hardware","-0.99","4.42","-0.19","1.17","23.25","19.89"
"Centerac Technologies Ltd.","Technology","Computer Software","2.75","10.49","0.27","0","0","1.72"
"Cerebra Integrated Technologies Ltd.","Technology","Computer Software","2.05","2.53","-9.21","0.3","39.64","132.88"
"Cigniti Technologies Ltd.","Technology","Computer Software","14.61","10.36","-116.23","0.18","43.08","269.08"
"Clio Infotech Ltd.","Technology","Computer Software","0.44","32.7","-2.74","0","0","12.19"
"CMC Ltd.","Technology","Computer Hardware","22.07","15.86","101.33","0","0","1355.16"
"CNI Research Ltd","Technology","Computer Software","5.93","5.61","0.31","0","0","22.29"
"Commex Technology Ltd.","Technology","Computer Software","1.17","163.65","-0.94","0","0.01","123.51"
"Compuage Infocom Ltd.","Technology","Computer Hardware","16.07","2.32","-15.12","3.07","246.09","80.23"
"Compucom Software Ltd.","Technology","Computer Software","4.59","52.91","3.38","0.27","31.44","118.51"
"Comp-U-Learn Tech India Ltd.","Technology","Computer Software","0.48","3.76","0.22","0.33","16.43","50.03"
"Computer Point Ltd.","Technology","Computer Hardware","0","1.49","-1.28","0","0","33.37"
"Concurrent (India) Infrastructure Ltd.","Technology","Computer Software","0.36","13.35","-2.63","0.22","15.46","69.3"
"Coral Hub Ltd.","Technology","Computer Software","7.81","30.31","0","0.08","24.03","295.5"
"Core Education & Technologies Ltd.","Technology","Computer Software","-145.69","-16.76","281.55","-18.77","2161.66","-115.14"
"COVIDH TECHNOLOGIES LTD.","Technology","Computer Software","0.93","7.07","0.13","0.45","6.33","13.97"
"CSS Technergy Ltd","Technology","Computer Software","19.88","12.95","0.42","0.23","2.55","11.93"
"Cura Technologies Ltd.","Technology","Computer Software","0","-405.54","-50.42","-1.03","82.98","-80.7"
"Cybermate Infotek Ltd.","Technology","Computer Software","-38.51","-43.77","-35.34","0.08","3.35","81.01"
"Cyberscape Multimedia Ltd.","Technology","Computer Software","-3.1","-255.87","0.02","0.01","0.03","5.5"
"Cybertech Systems & Software Ltd.","Technology","Computer Software","8.59","8.81","-3.44","0.09","5.68","60.02"
"Cyient Limited","Technology","Computer Software","19.57","-","440.67","0.08","147.37","1844.06"
"Danlaw Technologies India Ltd.","Technology","Computer Software","8.15","19.88","-0.26","0","0","23.87"
"Datamatics Global Services Ltd.","Technology","Computer Software","13.53","11.15","39.66","0.2","92.22","458.8"
"Datasoft Application Software (India) Ltd.","Technology","Computer Software","0","-","0.04","0.01","0.01","1.03"
"Dynacons Systems & Solutions Ltd.","Technology","Computer Hardware","4.27","4.22","1.16","0.81","12.94","15.96"
"Edserv Softsystems Ltd.","Technology","Computer Software","-3.41","10.33","-25.8","0.05","12.91","272.46"
"Encore Software Ltd.","Technology","Computer Software","0","42.98","-0.05","-0.77","19.63","-25.5"
"FCS Software Solutions Ltd.","Technology","Computer Software","-9.59","6.85","-4.81","0.01","6.03","493.22"
"Financial Technologies (India) Ltd.","Technology","Computer Software","15.55","-44.01","543.09","0.17","485.67","2928.27"
"Fintech Communication Ltd.","Technology","Computer Software","35.85","2.89","0","0","0","0.13"
"Firstobject Technologies Ltd","Technology","Computer Software","-5.11","10.88","-0.93","0.04","1.37","34.27"
"Fourth Generation Information Systems Ltd.","Technology","Computer Software","-125.41","-1244.47","-0.08","0","0","0.36"
"Frontier Informatics Ltd.","Technology","Computer Software","0","-309.42","-0.09","-1.45","2.01","-1.38"
"Funny Software Ltd.","Technology","Computer Software","0.71","2.45","0","0","0","9.16"
"Futuristic Solutions Ltd.","Technology","Computer Software","8.55","36.89","1.09","0.04","0.62","14.38"
"Gamma Infoway Exalt Ltd.","Technology","Computer Hardware","-0.69","-57.22","-0.02","0.01","0.02","2.63"
"Gemini Communication Ltd.","Technology","Computer Hardware","0","-164.93","86.75","-0.92","344.63","-374.42"
"Genesys International Corpn. Ltd.","Technology","Computer Software","2.46","25.36","-4.39","0.06","11.56","208.2"
"Geodesic Ltd.","Technology","Computer Software","-89.43","-164.43","-902.95","2.61","1219.5","467.97"
"Geometric Ltd.","Technology","Computer Software","20.66","13.53","-4.61","0.14","58.73","407.88"
"Glodyne Technoserve Ltd","Technology","Computer Software","-14.62","5.73","-234.27","1.86","955.83","515.08"
"Goldstone Technologies Ltd.","Technology","Computer Software","-3.83","9.44","5.31","0.19","13.31","68.75"
"Green Field Agri Ventures Ltd.","Technology","Computer Software","7.61","18.84","0.59","0.06","0.57","9.14"
"GSS Infotech Ltd.","Technology","Computer Software","-76.25","5.5","-198.96","0.12","20.04","168.46"
"HCL Infosystems Ltd.","Technology","Computer Hardware","-13.68","0.06","-591.53","1","1251.25","1257.5"
"HCL Technologies Ltd.","Technology","Computer Software","34.52","26.19","5309.43","0.03","647.76","24224.41"
"Helios & Matheson Information Technology Ltd.","Technology","Computer Software","16.07","22.71","-28.56","0.85","287.79","401.45"
"Hexaware Technologies Ltd.","Technology","Computer Software","25.72","18.22","272.83","0","0","1290.6"
"Hindustan Bio Sciences Ltd.","Technology","Computer Software","-19.21","-185.81","-0.5","0.14","0.97","6.91"
"Hit Kit Global Solutions Ltd.","Technology","Computer Software","-0.35","-13.69","0.01","0","0","9.73"
"ICSA (India) Ltd.","Technology","Computer Software","0","-1407.26","-0.8","-1.03","1157.04","-1117.68"
"IEC Education Ltd.","Technology","Computer Software","-0.38","14.06","-1.53","0.05","1.73","34.18"
"IKF Technologies Ltd.","Technology","Computer Software","0.96","12.85","3.92","0.01","3.64","298.09"
"Indian Infotech & Software Ltd.","Technology","Computer Software","0.23","1.47","-47.09","0.01","2.84","247.4"
"Indo-City Infotech Ltd.","Technology","Computer Software","0.05","272.66","0.03","0","0","13.35"
"Indus Networks Ltd.","Technology","Computer Software","0.1","2.77","0","3.5","54.64","17.49"
"Infinite Computer Solutions (India) Ltd.","Technology","Computer Software","15.38","11.41","102.89","0.07","59.09","791.47"
"Info-Drive Software Ltd.","Technology","Computer Software","4.79","7.5","-51.9","0.92","119.86","130.47"
"Informed Technologies India Ltd.","Technology","Computer Software","7.89","70.6","1.01","0.01","0.16","13.29"
"Infosys Ltd.","Technology","Computer Software","25.98","34.35","10333.24","0","0","50736"
"Infronics Systems Ltd.","Technology","Computer Software","-126.41","-36.58","-8.59","3.86","9.09","2.35"
"Innovation Software Exports Ltd.","Technology","Computer Software","-8.77","-","-0.01","0","0","0.93"
"Integra Telecommunication & Software Ltd.","Technology","Computer Software","-5.6","0.97","7.28","0","0","10.65"
"Integrated Hitech Ltd.","Technology","Computer Software","0.09","38.81","-0.02","0","0","10.79"
"Intellect Design Arena Ltd.","Technology","Computer Software","-13.59","-8.6","-3.59","0.01","7.71","619.2"
"Intellvisions Software Ltd.","Technology","Computer Software","2.04","13.22","0.51","0.16","5.79","36.25"
"Intense Technologies Ltd.","Technology","Computer Software","7.05","14.24","-14.14","0","0","56.1"
"Interworld Digital Ltd","Technology","Computer Software","0.09","13.78","2.92","0.02","1.9","126.26"
"Intrasoft Technologies Ltd.","Technology","Computer Software","7.6","2.65","5.14","0.05","4.04","79.51"
"IZMO Ltd.","Technology","Computer Software","-2.2","34.44","-7.13","0.16","27.55","172.16"
"Jetking Infotrain Ltd.","Technology","Computer Hardware","5.42","22.64","0","0","0","43.3"
"Jointeca Education Solutions Ltd.","Technology","Computer Software","2.29","26.32","-5","0.03","0.48","15.36"
