"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","1-Year Revenue Growth","1-Year EPS Growth","1-Year Book Value Growth","3-Year Revenue Griowth","3-Year EPS Growth","3 Year Book Value Growth","5 Year Revenue Growth","5-Year EPS Growth","5 Year Book Value Growth"
"3i Infotech Ltd.","Technology","Computer Software","2.76","-158.97","-202.71","-7.19","2.59","-163.36","-11.31","-200.99","-169.13"
"7Seas Technologies Ltd.","Technology","Computer Software","-81.29","-369.02","-97.1","-73.29","-280.34","-70.7","-45.64","-285.02","-49.72"
"8K Miles Software Services Ltd.","Technology","Computer Software","71.58","659.11","52.79","82.73","135.54","17.34","-","35.67","6.17"
"Aashee Infotech Ltd.","Technology","Computer Hardware","299.28","1378.95","0.57","-21.97","12.03","2.55","7.11","-38.43","2.8"
"Accelya Kale Solutions Ltd.","Technology","Computer Software","-4.39","-19.69","5.05","11.45","18.23","-5.77","-","-","-"
"Accentia Technologies Ltd.","Technology","Computer Software","-63.87","-185.71","-0.23","-30.12","-165.88","4.27","-13.79","-176.87","13.2"
"Ace Software Exports Ltd.","Technology","Computer Software","25.97","-39.9","2.71","32.4","-0.77","2.87","25.61","5.86","2.82"
"ACI Infocom Ltd.","Technology","Computer Hardware","-","-33.09","0.61","-56.83","-17.32","1.22","-40.98","-37.09","11.67"
"Advent Computer Services Ltd.","Technology","Computer Software","20.66","15","0.02","18.83","26.47","-0.1","6.21","15.16","10.71"
"Aftek Ltd.","Technology","Computer Software","-30.56","65.42","-1.52","-24.56","-164.03","-6.63","-22.44","-330.51","-10.58"
"AGS Infotech Ltd.","Technology","Computer Software","4.87","3.22","6.92","-","-","-","-","-","-"
"Ajel Ltd.","Technology","Computer Software","-21.69","-329.12","-18.5","-13.42","-206.49","-2.04","1.47","-209.41","4.48"
"Allied Computers International (Asia) Ltd.","Technology","Computer Hardware","6.89","60","0.08","-42.21","-8.51","0.08","-43.31","-32.6","-1.21"
"Allied Digital Services Ltd.","Technology","Computer Software","-11.99","-100.05","-2.43","-26.34","-108","-1.27","-19.06","-113.8","1"
"Aptech Ltd.","Technology","Computer Software","-6.17","-47.42","-0.86","-0.76","-36.86","-6.38","1.58","23.02","5.72"
"Aqua Pumps Infra Ventures Ltd.","Technology","Computer Software","3.21","17.96","3.26","112.81","48.91","2.97","188.33","45.78","14.43"
"Archana Software Ltd.","Technology","Computer Software","0.32","28.94","0.93","5.89","-65.21","0.45","70.42","-24.28","11.24"
"ASM Technologies Ltd.","Technology","Computer Hardware","-1.85","-36.28","3.9","4.02","-24.17","19.33","18.91","9.36","26.51"
"Avance Technologies Ltd.","Technology","Computer Software","20.3","89.3","-33.19","-11.9","18.96","-8.48","7.92","-209.98","-5.3"
"Avantel Ltd.","Technology","Computer Software","94.1","189.16","-1.72","-1","-36.69","5.83","3.22","-0.52","8.65"
"AXISCADES Engineering Technologies Ltd.","Technology","Computer Hardware","3.51","-5.45","-5.86","11.58","5.72","14.14","32.68","34.43","28.83"
"B2B Software Technologies Ltd.","Technology","Computer Software","14.61","7.51","15.01","14.3","118.41","13.7","11.04","30.56","-4.25"
"Baron Infotech Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-"
"Bharatiya Global Infomedia Ltd.","Technology","Computer Software","-18.89","-115.19","0.18","-17.25","-146.41","0.96","-4.65","-147.7","13.17"
"Birla Shloka Edutech Ltd.","Technology","Computer Software","-89.9","-18.43","-3.75","-69.33","-197.02","-0.16","-48.64","-186.35","7.42"
"BITS Ltd.","Technology","Computer Software","45.16","105.31","0.47","-2.04","91.17","-2.53","-35.27","54.97","-1.59"
"BLS Infotech Ltd.","Technology","Computer Software","-11.73","-100","0","-6.32","25.99","0.1","-31.1","14.87","-1.47"
"Blue Star Infotech Ltd.","Technology","Computer Software","-1.97","17.45","10.3","27.97","69.75","10.5","15.25","4.07","6.04"
"Bodhtree Consulting Ltd.","Technology","Computer Software","-8.31","-82.58","0.84","-0.47","88.24","-1.6","13.67","-42.61","-16.03"
"Boston Teknowsys (India) Ltd.","Technology","Computer Software","15.13","15.85","2.67","225.13","-3.53","2.55","-","-","-"
"C G-V AK Software & Exports Ltd.","Technology","Computer Software","23.89","66.37","11.21","25.94","56.61","15.04","18.37","39.06","7.8"
"California Software Co. Ltd.","Technology","Computer Software","-","-4.31","-187.67","-","21.76","-210.92","-","-184.2","-171.62"
"Cals Refineries Ltd.","Technology","Computer Hardware","-","-10033.21","-103.75","-","-144.39","-133.2","-","-","-147.57"
"Cambridge Technology Enterprises Ltd.","Technology","Computer Software","28.14","182","11.78","-24.52","27.13","39.48","-14.44","16.25","-8.09"
"CCS Infotech Ltd.","Technology","Computer Hardware","73.42","-13065.29","6.81","-5.55","-157.77","2.88","-1","-","-"
"Centerac Technologies Ltd.","Technology","Computer Software","-14.95","36.61","2.79","66.28","-49.34","3.46","127.09","15.37","5.95"
"Cerebra Integrated Technologies Ltd.","Technology","Computer Software","105.01","-25.14","-18.35","-","-","-","-","-","-"
"Cigniti Technologies Ltd.","Technology","Computer Software","105.84","-62.44","92.05","123.48","84.5","54.51","86.57","83.31","43.28"
"Clio Infotech Ltd.","Technology","Computer Software","-0.11","-53.1","0.43","-11.64","31.43","-1.51","-5.8","-5.16","-1.47"
"CMC Ltd.","Technology","Computer Hardware","12.67","-1.17","17.23","19.6","22.21","20.62","23.62","14.11","21.55"
"CNI Research Ltd","Technology","Computer Software","684.79","249.06","7.89","71.99","44.56","3.18","59","-16.84","1.84"
"Commex Technology Ltd.","Technology","Computer Software","-91.77","-13.75","3.15","-47.95","-38.42","6.83","-21.65","-18.25","4.54"
"Compuage Infocom Ltd.","Technology","Computer Hardware","1.29","3.24","13.98","14.33","5.58","15.26","16.67","10.3","24.27"
"Compucom Software Ltd.","Technology","Computer Software","-25.28","-43.08","3.94","-7.84","-21.88","5.41","-2.01","-11.49","9.08"
"Comp-U-Learn Tech India Ltd.","Technology","Computer Software","-51.3","-77.56","1.66","-29.55","-75.27","7.99","4.94","-59.8","20.76"
"Computer Point Ltd.","Technology","Computer Hardware","-49.93","-95.93","0","-6.27","26.01","0.14","-26.77","-65.17","-0.51"
"Concurrent (India) Infrastructure Ltd.","Technology","Computer Software","-86.11","-98.36","0.37","-27.77","13.9","15.84","-18.67","16.99","8.36"
"Coral Hub Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-","-"
"Core Education & Technologies Ltd.","Technology","Computer Software","-37.78","-168.58","-105.94","-22.28","-259.23","-139.83","-1.92","-246.02","-164.74"
