"Value Research Online"
"Date: 27-Dec-2015 16:21"
"Company","Sector","Industry","Price","PriceDate","1-Day Chg. (%)","52-Week High","52-Week Low","P/E","P/B","Enterprise Value (Cr)","Market Cap (Cr)"
"3i Infotech Ltd.","Technology","Computer Software","4.9","Dec 24, 2015","-2.97","10.25","2.3","0","-0.46","2731.9","311.73"
"7Seas Technologies Ltd.","Technology","Computer Software","21.3","Dec 24, 2015","-4.91","25.2","6.12","0","7.93","30.19","23.67"
"8K Miles Software Services Ltd.","Technology","Computer Software","2031.8","Dec 24, 2015","0.8","2088","567.3","80.26","14.51","2202.08","2216.79"
"Aashee Infotech Ltd.","Technology","Computer Hardware","1.85","Dec 24, 2015","4.52","1.85","1.47","5.15","0.41","0.64","0.69"
"Accelya Kale Solutions Ltd.","Technology","Computer Software","934.35","Dec 24, 2015","-1.19","1229.8","900","21.09","10.59","1333.9","1392.99"
"Accentia Technologies Ltd.","Technology","Computer Software","3.11","Mar 30, 2015","4.71","4.04","2.46","0","0.01","59.66","5.29"
"Ace Software Exports Ltd.","Technology","Computer Software","17.9","Dec 24, 2015","0","17.92","6.12","11.64","0.52","7.59","8.38"
"ACI Infocom Ltd.","Technology","Computer Hardware","7","Dec 24, 2015","2.94","12","4.17","0","4.78","77.19","77.34"
"Advent Computer Services Ltd.","Technology","Computer Software","3.9","Dec 24, 2015","0.78","6.85","2.37","0","0.41","7.07","6.35"
"Aftek Ltd.","Technology","Computer Software","1.63","Nov 30, 2015","-4.68","7.72","1.55","0","0.04","130.42","17.96"
"AGS Infotech Ltd.","Technology","Computer Software","17.85","Oct 10, 2012","-4.8","-","-","0","0.89","40.36","22.22"
"Ajel Ltd.","Technology","Computer Software","2.19","Dec 23, 2015","4.29","4.7","2.09","1.43","0.18","13.71","2.55"
"Allied Computers International (Asia) Ltd.","Technology","Computer Hardware","0.05","Dec 24, 2015","0","0.19","0.03","52.66","0.05","41.61","5.95"
"Allied Digital Services Ltd.","Technology","Computer Software","52.65","Dec 24, 2015","0.67","56.4","15.2","19.86","0.36","356.68","243.87"
"Aptech Ltd.","Technology","Computer Software","65.2","Dec 24, 2015","4.32","75.9","51","19.66","1.14","222.02","259.91"
"Aqua Pumps Infra Ventures Ltd.","Technology","Computer Software","13","Dec 24, 2015","-4.41","44.7","7.38","20.32","0.6","20.52","19.67"
"Archana Software Ltd.","Technology","Computer Software","3.93","Dec 24, 2015","0","3.93","0.55","41.83","0.9","2.36","2.38"
"ASM Technologies Ltd.","Technology","Computer Hardware","152","Dec 24, 2015","1.2","228.7","85","19.24","1.34","109.03","76"
"Avance Technologies Ltd.","Technology","Computer Software","0.23","Dec 24, 2015","0","0.3","0.12","0","0.12","44.94","45.58"
"Avantel Ltd.","Technology","Computer Software","159.3","Dec 24, 2015","14.85","188","75.1","141.02","3.46","72.41","64.59"
"AXISCADES Engineering Technologies Ltd.","Technology","Computer Hardware","340.8","Dec 24, 2015","5.28","396.2","150.2","37","6.57","925.57","925.81"
"B2B Software Technologies Ltd.","Technology","Computer Software","10.96","Dec 24, 2015","0","16","6.51","9.77","2.15","8.81","12.7"
"Baron Infotech Ltd.","Technology","Computer Software","0.32","Dec 24, 2015","3.23","0.56","0.23","0","0.19","0.33","0.33"
"Bharatiya Global Infomedia Ltd.","Technology","Computer Software","4.3","Dec 24, 2015","-1.15","5.45","2.7","0","0.08","9.28","7.37"
"Birla Shloka Edutech Ltd.","Technology","Computer Software","4.18","Dec 24, 2015","3.21","6.22","2.07","0","0.09","32.17","8.76"
"BITS Ltd.","Technology","Computer Software","0.49","Dec 23, 2015","0","0.52","0.15","21.5","0.15","5.42","5.48"
"BLS Infotech Ltd.","Technology","Computer Software","0.31","Dec 24, 2015","0","0.31","0.12","330.94","0.33","-10.71","13.57"
"Blue Star Infotech Ltd.","Technology","Computer Software","248.35","Dec 24, 2015","3.72","314.8","157.6","11.7","2.08","237.38","267.08"
"Bodhtree Consulting Ltd.","Technology","Computer Software","42.4","Dec 24, 2015","-3.64","52.4","14.99","69.53","2.73","81.69","74.4"
"Boston Teknowsys (India) Ltd.","Technology","Computer Software","5.9","Dec 02, 2015","-4.07","30.55","5.9","281.08","0.97","3.15","3.09"
"C G-V AK Software & Exports Ltd.","Technology","Computer Software","40.7","Dec 24, 2015","0","56.4","13.8","26.34","2.42","16.55","20.59"
"California Software Co. Ltd.","Technology","Computer Software","10.55","Dec 24, 15:19","0","12.3","4.55","0","-0.48","73.59","13.05"
"Cals Refineries Ltd.","Technology","Computer Hardware","0.07","Dec 24, 2015","0","0.1","0.06","0","-2.88","65.12","58.06"
"Cambridge Technology Enterprises Ltd.","Technology","Computer Software","140.1","Dec 24, 2015","1.97","149","9.35","50.53","8.12","269.63","271.6"
