"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","1-Day Return","1-Week Return","1-Month Return","3-Month Return","1-Year Return","3-Year Return","5-Year Return","10-Year Return"
"3i Infotech Ltd.","Technology","Computer Software","-2.97","-2","20.99","63.33","-40.24","-17.26","-38.86","-25.15"
"7Seas Technologies Ltd.","Technology","Computer Software","-4.91","-2.52","7.58","25.29","111.73","3.88","-18.99","-"
"8K Miles Software Services Ltd.","Technology","Computer Software","1.09","3.92","11.51","43.55","251.41","230.43","127.6","-"
"Aashee Infotech Ltd.","Technology","Computer Hardware","4.52","4.52","-","-","-","-26.81","-","-"
"Accelya Kale Solutions Ltd.","Technology","Computer Software","-1.19","2.71","-0.31","-3.4","-7.17","37.52","52.58","26.56"
"Accentia Technologies Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Ace Software Exports Ltd.","Technology","Computer Software","0","0.28","-0.11","-","-","21.45","6.6","-5.29"
"ACI Infocom Ltd.","Technology","Computer Hardware","2.94","4.48","-16.67","5.9","58.73","-23.47","15.91","20.86"
"Advent Computer Services Ltd.","Technology","Computer Software","0.78","-1.02","-","-","-33.9","15.98","-2.29","2.59"
"Aftek Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"AGS Infotech Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"Ajel Ltd.","Technology","Computer Software","0","4.78","-","-","-55.67","-24.13","-35.22","-8.89"
"Allied Computers International (Asia) Ltd.","Technology","Computer Hardware","0","0","0","-16.67","-75","-9.74","-32.57","-"
"Allied Digital Services Ltd.","Technology","Computer Software","0.67","-0.47","25.66","86.04","143.75","38.77","-22.1","-"
"Aptech Ltd.","Technology","Computer Software","4.32","6.1","9.12","9.95","-5.44","-1.75","-11.74","-7.37"
"Aqua Pumps Infra Ventures Ltd.","Technology","Computer Software","-4.41","-7.8","-2.99","67.53","-51.76","-42.51","-4.88","-"
"Archana Software Ltd.","Technology","Computer Software","0","3.97","0","83.64","523.81","27.11","-","-"
"ASM Technologies Ltd.","Technology","Computer Hardware","1.2","0.66","0","42.72","-0.33","24.4","21.66","14.44"
"Avance Technologies Ltd.","Technology","Computer Software","0","0","0","53.33","4.55","15.31","-49.55","-0.67"
"Avantel Ltd.","Technology","Computer Software","14.85","10.17","7.53","97.89","20.32","38.66","23.73","4.01"
"AXISCADES Engineering Technologies Ltd.","Technology","Computer Hardware","5.35","4.87","-5.26","25.37","127.84","72.79","29.41","34.56"
"B2B Software Technologies Ltd.","Technology","Computer Software","0","0","5.38","38.56","-2.4","9.36","-2.67","-2.37"
"Baron Infotech Ltd.","Technology","Computer Software","3.23","6.67","18.52","-","-37.25","-38.26","-","-"
"Bharatiya Global Infomedia Ltd.","Technology","Computer Software","3.56","10.71","29.17","24.33","20.78","-7.94","-","-"
"Birla Shloka Edutech Ltd.","Technology","Computer Software","3.21","-1.42","-6.07","17.42","33.55","-15.1","-30.36","-14.81"
"BITS Ltd.","Technology","Computer Software","0","0","22.5","32.43","172.22","14.1","-7.41","-9.01"
"BLS Infotech Ltd.","Technology","Computer Software","0","0","29.17","34.78","72.22","10.46","-9.82","-3.67"
"Blue Star Infotech Ltd.","Technology","Computer Software","3.26","4.79","7.48","-10.37","20.43","53.18","18.26","5.71"
"Bodhtree Consulting Ltd.","Technology","Computer Software","-3.64","-8.92","7.61","24.89","-","-","-","-"
"Boston Teknowsys (India) Ltd.","Technology","Computer Software","-","-","-","-","-","-","-","-"
"C G-V AK Software & Exports Ltd.","Technology","Computer Software","0","-7.08","-3.55","44.84","146.67","73.23","33.47","17.65"
"California Software Co. Ltd.","Technology","Computer Software","0","6.57","21.26","72.95","111","-3.94","-22.84","-17.28"
"Cals Refineries Ltd.","Technology","Computer Hardware","0","-12.5","-12.5","0","-30","-20.63","-28.69","-7.33"
"Cambridge Technology Enterprises Ltd.","Technology","Computer Software","1.99","10.37","47.65","47.57","970.82","170.11","48.79","-"
"CCS Infotech Ltd.","Technology","Computer Hardware","-","-","-","-","-","-","-","-"
"Centerac Technologies Ltd.","Technology","Computer Software","0","16.81","4.51","52.75","-32.2","-28.1","-15.35","-7.7"
"Cerebra Integrated Technologies Ltd.","Technology","Computer Software","-9.49","-11.64","-17.84","55.42","111.56","4.62","-9.54","14.22"
"Cigniti Technologies Ltd.","Technology","Computer Software","-0.97","-3.16","-5.83","22.19","6.9","70.36","105.66","-"
"Clio Infotech Ltd.","Technology","Computer Software","0","-","-","-","-","-","-","-"
"CMC Ltd.","Technology","Computer Hardware","-","-","-","-","-","-","-","-"
"CNI Research Ltd","Technology","Computer Software","5.68","24.36","27.11","21.5","29.45","-2.07","-11.79","11.94"
"Commex Technology Ltd.","Technology","Computer Software","4.65","-13.46","-19.16","19.47","-24.58","-56.09","-44.27","-21.13"
