"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"3i Infotech Ltd.","Technology","Computer Software","4.9","Dec 24, 2015","10.25","2.3","0","-0.46","0","65.14","0.85","-6.07"
"7Seas Technologies Ltd.","Technology","Computer Software","21.3","Dec 24, 2015","25.2","6.12","0","7.93","0","-4.05","37.93","-17.51"
"8K Miles Software Services Ltd.","Technology","Computer Software","2031.8","Dec 24, 2015","2088","567.3","80.26","14.51","0","329.36","149.76","740.28"
"Aashee Infotech Ltd.","Technology","Computer Hardware","1.85","Dec 24, 2015","1.85","1.47","5.15","0.41","0","4.67","0.02","14.94"
"Accelya Kale Solutions Ltd.","Technology","Computer Software","934.35","Dec 24, 2015","1229.8","900","21.09","10.59","3.86","11.14","4.51","21.04"
"Accentia Technologies Ltd.","Technology","Computer Software","3.11","Mar 30, 2015","4.04","2.46","0","0.01","0","17.23","1.09","0.08"
"Ace Software Exports Ltd.","Technology","Computer Software","17.9","Dec 24, 2015","17.92","6.12","11.64","0.52","0","5.87","1.12","-176.93"
"ACI Infocom Ltd.","Technology","Computer Hardware","7","Dec 24, 2015","12","4.17","0","4.78","0","436.13","34.44","-102.54"
"Advent Computer Services Ltd.","Technology","Computer Software","3.9","Dec 24, 2015","6.85","2.37","0","0.41","0","-153.61","20.74","-3373.96"
"Aftek Ltd.","Technology","Computer Software","1.63","Nov 30, 2015","7.72","1.55","0","0.04","0","3.32","0.46","-79.83"
"AGS Infotech Ltd.","Technology","Computer Software","17.85","Oct 10, 2012","-","-","0","0.89","0","-","-","-"
"Ajel Ltd.","Technology","Computer Software","2.19","Dec 23, 2015","4.7","2.09","1.43","0.18","0","4.79","0.15","6.83"
"Allied Computers International (Asia) Ltd.","Technology","Computer Hardware","0.05","Dec 24, 2015","0.19","0.03","52.66","0.05","0","312.85","7.78","-0.05"
"Allied Digital Services Ltd.","Technology","Computer Software","52.65","Dec 24, 2015","56.4","15.2","19.86","0.36","0","6.32","1.08","31.83"
"Aptech Ltd.","Technology","Computer Software","65.2","Dec 24, 2015","75.9","51","19.66","1.14","4.99","10.85","2.84","15.03"
"Aqua Pumps Infra Ventures Ltd.","Technology","Computer Software","13","Dec 24, 2015","44.7","7.38","20.32","0.6","0","12.33","0.42","0.08"
"Archana Software Ltd.","Technology","Computer Software","3.93","Dec 24, 2015","3.93","0.55","41.83","0.9","0","32.27","0.43","166.37"
"ASM Technologies Ltd.","Technology","Computer Hardware","152","Dec 24, 2015","228.7","85","19.24","1.34","1.32","6.66","0.44","6.55"
"Avance Technologies Ltd.","Technology","Computer Software","0.23","Dec 24, 2015","0.3","0.12","0","0.12","0","22469.29","0.41","2.91"
"Avantel Ltd.","Technology","Computer Software","159.3","Dec 24, 2015","188","75.1","141.02","3.46","0.94","17.02","3.55","16.98"
"AXISCADES Engineering Technologies Ltd.","Technology","Computer Hardware","340.8","Dec 24, 2015","396.2","150.2","37","6.57","0","22.85","4.35","29.95"
"B2B Software Technologies Ltd.","Technology","Computer Software","10.96","Dec 24, 2015","16","6.51","9.77","2.15","0","6.07","1.95","22.1"
"Baron Infotech Ltd.","Technology","Computer Software","0.32","Dec 24, 2015","0.56","0.23","0","0.19","0","0.34","1.13","-3264"
"Bharatiya Global Infomedia Ltd.","Technology","Computer Software","4.3","Dec 24, 2015","5.45","2.7","0","0.08","0","2.39","0.24","-44.09"
"Birla Shloka Edutech Ltd.","Technology","Computer Software","4.18","Dec 24, 2015","6.22","2.07","0","0.09","0","-15.81","3.3","1.42"
"BITS Ltd.","Technology","Computer Software","0.49","Dec 23, 2015","0.52","0.15","21.5","0.15","0","-774.42","12.52","-52.86"
"BLS Infotech Ltd.","Technology","Computer Software","0.31","Dec 24, 2015","0.31","0.12","330.94","0.33","0","-31.6","0.55","49.67"
"Blue Star Infotech Ltd.","Technology","Computer Software","248.35","Dec 24, 2015","314.8","157.6","11.7","2.08","1.62","10.21","1.72","13.35"
"Bodhtree Consulting Ltd.","Technology","Computer Software","42.4","Dec 24, 2015","52.4","14.99","69.53","2.73","0","18.78","1.53","-30.23"
